using CUDA on GPU 0...	
loading data files...	
cutting off end of data so that the batches/sequences divide evenly	
reshaping tensor...	
data load done. Number of data batches in train: 423, val: 23, test: 0	
vocab size: 65	
creating an lstm with 2 layers	
setting forget gate biases to 1 in LSTM layer 1	
setting forget gate biases to 1 in LSTM layer 2	
number of parameters in the model: 3320385	
cloning rnn	
cloning criterion	
1/21150 (epoch 0.002), train_loss = 4.15876630, grad/param norm = 8.1939e-01, time/batch = 0.7017s	
2/21150 (epoch 0.005), train_loss = 4.62028818, grad/param norm = 1.3223e+00, time/batch = 0.1927s	
3/21150 (epoch 0.007), train_loss = 4.07884368, grad/param norm = 9.1369e-01, time/batch = 0.1759s	
4/21150 (epoch 0.009), train_loss = 3.68000297, grad/param norm = 9.7150e-01, time/batch = 0.1617s	
5/21150 (epoch 0.012), train_loss = 3.80976524, grad/param norm = 6.8105e-01, time/batch = 0.1478s	
6/21150 (epoch 0.014), train_loss = 4.22560806, grad/param norm = 2.2415e+00, time/batch = 0.1406s	
7/21150 (epoch 0.017), train_loss = 3.57898129, grad/param norm = 6.5254e-01, time/batch = 0.1385s	
8/21150 (epoch 0.019), train_loss = 3.56553797, grad/param norm = 5.5840e-01, time/batch = 0.1391s	
9/21150 (epoch 0.021), train_loss = 3.45416491, grad/param norm = 5.0302e-01, time/batch = 0.1395s	
10/21150 (epoch 0.024), train_loss = 3.45946673, grad/param norm = 2.7402e-01, time/batch = 0.1387s	
11/21150 (epoch 0.026), train_loss = 3.38058543, grad/param norm = 2.2407e-01, time/batch = 0.1390s	
12/21150 (epoch 0.028), train_loss = 3.38679839, grad/param norm = 1.6026e-01, time/batch = 0.1396s	
13/21150 (epoch 0.031), train_loss = 3.35685991, grad/param norm = 1.5756e-01, time/batch = 0.1388s	
14/21150 (epoch 0.033), train_loss = 3.34335190, grad/param norm = 1.2240e-01, time/batch = 0.1388s	
15/21150 (epoch 0.035), train_loss = 3.40653251, grad/param norm = 1.2807e-01, time/batch = 0.1384s	
16/21150 (epoch 0.038), train_loss = 3.38116543, grad/param norm = 1.3427e-01, time/batch = 0.1377s	
17/21150 (epoch 0.040), train_loss = 3.33911817, grad/param norm = 1.4178e-01, time/batch = 0.1384s	
18/21150 (epoch 0.043), train_loss = 3.36621737, grad/param norm = 1.2098e-01, time/batch = 0.1386s	
19/21150 (epoch 0.045), train_loss = 3.34742338, grad/param norm = 1.1637e-01, time/batch = 0.1379s	
20/21150 (epoch 0.047), train_loss = 3.31503580, grad/param norm = 1.5124e-01, time/batch = 0.1393s	
21/21150 (epoch 0.050), train_loss = 3.35964188, grad/param norm = 1.4798e-01, time/batch = 0.1405s	
22/21150 (epoch 0.052), train_loss = 3.38399356, grad/param norm = 1.5828e-01, time/batch = 0.1413s	
23/21150 (epoch 0.054), train_loss = 3.37723605, grad/param norm = 1.1575e-01, time/batch = 0.1420s	
24/21150 (epoch 0.057), train_loss = 3.36729383, grad/param norm = 1.0081e-01, time/batch = 0.1412s	
25/21150 (epoch 0.059), train_loss = 3.41218726, grad/param norm = 1.0368e-01, time/batch = 0.1419s	
26/21150 (epoch 0.061), train_loss = 3.37167383, grad/param norm = 1.2712e-01, time/batch = 0.1417s	
27/21150 (epoch 0.064), train_loss = 3.32667243, grad/param norm = 1.4358e-01, time/batch = 0.1395s	
28/21150 (epoch 0.066), train_loss = 3.30424075, grad/param norm = 1.5024e-01, time/batch = 0.1395s	
29/21150 (epoch 0.069), train_loss = 3.30406946, grad/param norm = 1.4035e-01, time/batch = 0.1390s	
30/21150 (epoch 0.071), train_loss = 3.32796731, grad/param norm = 1.3140e-01, time/batch = 0.1397s	
31/21150 (epoch 0.073), train_loss = 3.36062895, grad/param norm = 1.1881e-01, time/batch = 0.1409s	
32/21150 (epoch 0.076), train_loss = 3.39570158, grad/param norm = 1.2824e-01, time/batch = 0.1396s	
33/21150 (epoch 0.078), train_loss = 3.31558611, grad/param norm = 1.2065e-01, time/batch = 0.1393s	
34/21150 (epoch 0.080), train_loss = 3.34222644, grad/param norm = 1.1825e-01, time/batch = 0.1398s	
35/21150 (epoch 0.083), train_loss = 3.33442175, grad/param norm = 9.9393e-02, time/batch = 0.1397s	
36/21150 (epoch 0.085), train_loss = 3.32624979, grad/param norm = 9.8850e-02, time/batch = 0.1394s	
37/21150 (epoch 0.087), train_loss = 3.33417549, grad/param norm = 1.0316e-01, time/batch = 0.1399s	
38/21150 (epoch 0.090), train_loss = 3.30375154, grad/param norm = 1.0775e-01, time/batch = 0.1395s	
39/21150 (epoch 0.092), train_loss = 3.36246255, grad/param norm = 1.2372e-01, time/batch = 0.1391s	
40/21150 (epoch 0.095), train_loss = 3.37602341, grad/param norm = 1.2239e-01, time/batch = 0.1383s	
41/21150 (epoch 0.097), train_loss = 3.37137387, grad/param norm = 1.4876e-01, time/batch = 0.1397s	
42/21150 (epoch 0.099), train_loss = 3.29767341, grad/param norm = 1.5613e-01, time/batch = 0.1397s	
43/21150 (epoch 0.102), train_loss = 3.33357435, grad/param norm = 1.6451e-01, time/batch = 0.1404s	
44/21150 (epoch 0.104), train_loss = 3.28775569, grad/param norm = 1.3848e-01, time/batch = 0.1398s	
45/21150 (epoch 0.106), train_loss = 3.35839014, grad/param norm = 1.2339e-01, time/batch = 0.1390s	
46/21150 (epoch 0.109), train_loss = 3.33913747, grad/param norm = 1.0559e-01, time/batch = 0.1415s	
47/21150 (epoch 0.111), train_loss = 3.34530118, grad/param norm = 1.0115e-01, time/batch = 0.1402s	
48/21150 (epoch 0.113), train_loss = 3.39400939, grad/param norm = 9.0339e-02, time/batch = 0.1393s	
49/21150 (epoch 0.116), train_loss = 3.32517251, grad/param norm = 7.7343e-02, time/batch = 0.1395s	
