using CUDA on GPU 0...	
loading data files...	
cutting off end of data so that the batches/sequences divide evenly	
reshaping tensor...	
data load done. Number of data batches in train: 423, val: 23, test: 0	
vocab size: 65	
creating an lstm with 2 layers	
Drawed the graph	
setting forget gate biases to 1 in LSTM layer 1	
setting forget gate biases to 1 in LSTM layer 2	
number of parameters in the model: 240321	
cloning rnn	
cloning criterion	
1/21150 (epoch 0.002), train_loss = 4.16541388, grad/param norm = 5.4285e-01, time/batch = 0.3735s	
2/21150 (epoch 0.005), train_loss = 3.89093616, grad/param norm = 1.2819e+00, time/batch = 0.0983s	
3/21150 (epoch 0.007), train_loss = 3.46844073, grad/param norm = 8.9917e-01, time/batch = 0.0931s	
4/21150 (epoch 0.009), train_loss = 3.45876761, grad/param norm = 5.0084e-01, time/batch = 0.0883s	
5/21150 (epoch 0.012), train_loss = 3.37796806, grad/param norm = 5.3113e-01, time/batch = 0.0876s	
6/21150 (epoch 0.014), train_loss = 3.41647655, grad/param norm = 4.6216e-01, time/batch = 0.0875s	
7/21150 (epoch 0.017), train_loss = 3.41524894, grad/param norm = 3.6140e-01, time/batch = 0.0859s	
8/21150 (epoch 0.019), train_loss = 3.37284841, grad/param norm = 4.5473e-01, time/batch = 0.0847s	
9/21150 (epoch 0.021), train_loss = 3.34714774, grad/param norm = 5.3293e-01, time/batch = 0.0841s	
10/21150 (epoch 0.024), train_loss = 3.42820277, grad/param norm = 4.6800e-01, time/batch = 0.0853s	
11/21150 (epoch 0.026), train_loss = 3.34162249, grad/param norm = 3.6477e-01, time/batch = 0.0869s	
12/21150 (epoch 0.028), train_loss = 3.37269083, grad/param norm = 3.2546e-01, time/batch = 0.0949s	
13/21150 (epoch 0.031), train_loss = 3.34884196, grad/param norm = 2.9641e-01, time/batch = 0.0952s	
14/21150 (epoch 0.033), train_loss = 3.32765187, grad/param norm = 3.4848e-01, time/batch = 0.0936s	
15/21150 (epoch 0.035), train_loss = 3.38507072, grad/param norm = 3.6348e-01, time/batch = 0.0916s	
16/21150 (epoch 0.038), train_loss = 3.37508580, grad/param norm = 3.5110e-01, time/batch = 0.0932s	
17/21150 (epoch 0.040), train_loss = 3.33757916, grad/param norm = 3.5875e-01, time/batch = 0.0883s	
18/21150 (epoch 0.043), train_loss = 3.34059886, grad/param norm = 3.1190e-01, time/batch = 0.0853s	
19/21150 (epoch 0.045), train_loss = 3.34080436, grad/param norm = 3.0716e-01, time/batch = 0.0848s	
20/21150 (epoch 0.047), train_loss = 3.31044400, grad/param norm = 3.2498e-01, time/batch = 0.0852s	
21/21150 (epoch 0.050), train_loss = 3.35398314, grad/param norm = 3.8843e-01, time/batch = 0.0882s	
22/21150 (epoch 0.052), train_loss = 3.37337379, grad/param norm = 4.2713e-01, time/batch = 0.0845s	
23/21150 (epoch 0.054), train_loss = 3.37354020, grad/param norm = 3.1793e-01, time/batch = 0.0835s	
24/21150 (epoch 0.057), train_loss = 3.37949137, grad/param norm = 3.0825e-01, time/batch = 0.0848s	
25/21150 (epoch 0.059), train_loss = 3.40768209, grad/param norm = 3.6988e-01, time/batch = 0.0866s	
26/21150 (epoch 0.061), train_loss = 3.37857338, grad/param norm = 4.3697e-01, time/batch = 0.0884s	
27/21150 (epoch 0.064), train_loss = 3.31881124, grad/param norm = 3.5365e-01, time/batch = 0.0991s	
28/21150 (epoch 0.066), train_loss = 3.30721260, grad/param norm = 3.1991e-01, time/batch = 0.0927s	
29/21150 (epoch 0.069), train_loss = 3.28910950, grad/param norm = 2.9351e-01, time/batch = 0.0922s	
30/21150 (epoch 0.071), train_loss = 3.31905122, grad/param norm = 2.7850e-01, time/batch = 0.0903s	
31/21150 (epoch 0.073), train_loss = 3.34510529, grad/param norm = 3.0557e-01, time/batch = 0.0912s	
32/21150 (epoch 0.076), train_loss = 3.38032703, grad/param norm = 3.1100e-01, time/batch = 0.0896s	
33/21150 (epoch 0.078), train_loss = 3.31604089, grad/param norm = 4.9507e-01, time/batch = 0.0870s	
34/21150 (epoch 0.080), train_loss = 3.32888679, grad/param norm = 4.8399e-01, time/batch = 0.0855s	
35/21150 (epoch 0.083), train_loss = 3.32335961, grad/param norm = 3.8975e-01, time/batch = 0.0850s	
36/21150 (epoch 0.085), train_loss = 3.32349838, grad/param norm = 3.9505e-01, time/batch = 0.0890s	
37/21150 (epoch 0.087), train_loss = 3.31158134, grad/param norm = 3.7455e-01, time/batch = 0.0880s	
38/21150 (epoch 0.090), train_loss = 3.29109951, grad/param norm = 3.7646e-01, time/batch = 0.0862s	
39/21150 (epoch 0.092), train_loss = 3.31788614, grad/param norm = 3.6029e-01, time/batch = 0.0864s	
40/21150 (epoch 0.095), train_loss = 3.44597528, grad/param norm = 2.1236e+00, time/batch = 0.0919s	
41/21150 (epoch 0.097), train_loss = 3.38463394, grad/param norm = 4.5535e-01, time/batch = 0.0950s	
42/21150 (epoch 0.099), train_loss = 3.25407006, grad/param norm = 3.2417e-01, time/batch = 0.0945s	
43/21150 (epoch 0.102), train_loss = 3.29532413, grad/param norm = 2.7349e-01, time/batch = 0.0884s	
44/21150 (epoch 0.104), train_loss = 3.25741050, grad/param norm = 2.2093e-01, time/batch = 0.0941s	
45/21150 (epoch 0.106), train_loss = 3.32499449, grad/param norm = 2.9872e-01, time/batch = 0.0847s	
46/21150 (epoch 0.109), train_loss = 3.30195661, grad/param norm = 2.5057e-01, time/batch = 0.0856s	
47/21150 (epoch 0.111), train_loss = 3.30334328, grad/param norm = 2.6156e-01, time/batch = 0.0861s	
48/21150 (epoch 0.113), train_loss = 3.32998872, grad/param norm = 2.6328e-01, time/batch = 0.0871s	
49/21150 (epoch 0.116), train_loss = 3.26598992, grad/param norm = 2.6849e-01, time/batch = 0.0845s	
50/21150 (epoch 0.118), train_loss = 3.31980875, grad/param norm = 5.4432e-01, time/batch = 0.0859s	
51/21150 (epoch 0.121), train_loss = 3.31404416, grad/param norm = 7.8303e-01, time/batch = 0.0853s	
52/21150 (epoch 0.123), train_loss = 3.27829035, grad/param norm = 4.4768e-01, time/batch = 0.0854s	
53/21150 (epoch 0.125), train_loss = 3.27992901, grad/param norm = 2.6604e-01, time/batch = 0.0849s	
54/21150 (epoch 0.128), train_loss = 3.22205304, grad/param norm = 2.2893e-01, time/batch = 0.1013s	
55/21150 (epoch 0.130), train_loss = 3.24376067, grad/param norm = 2.4378e-01, time/batch = 0.0906s	
56/21150 (epoch 0.132), train_loss = 3.24241059, grad/param norm = 2.8360e-01, time/batch = 0.0898s	
57/21150 (epoch 0.135), train_loss = 3.20769744, grad/param norm = 3.2379e-01, time/batch = 0.0848s	
58/21150 (epoch 0.137), train_loss = 3.20175427, grad/param norm = 3.1915e-01, time/batch = 0.0915s	
59/21150 (epoch 0.139), train_loss = 3.19827304, grad/param norm = 3.2906e-01, time/batch = 0.0889s	
60/21150 (epoch 0.142), train_loss = 3.20866187, grad/param norm = 5.8641e-01, time/batch = 0.0841s	
61/21150 (epoch 0.144), train_loss = 3.25502930, grad/param norm = 9.0876e-01, time/batch = 0.0864s	
62/21150 (epoch 0.147), train_loss = 3.34651120, grad/param norm = 9.1733e-01, time/batch = 0.0847s	
